ID_Encuesta,ID_Casa,,,,,
746,1085,,,,,
2097,1008,,,,,
2054,1000,,,,,
2067,997,,,,,
2068,997,,,,,
1476,971,,,,,
1470,970,,,,,
1475,969,,,,,
1479,967,,,,,
2127,965,,,,,
2118,964,,,,,
2119,964,,,,,
2138,958,,,,,
2148,955,,,,,
1448,949,,,,,
1454,949,,,,,
1427,944,,,,,
1435,944,,,,,
1436,944,,,,,
1434,943,,,,,
1462,940,,,,,
1430,937,,,,,
1437,937,,,,,
1387,936,,,,,
1411,936,,,,,
1403,934,,,,,
1499,934,,,,,
1400,931,,,,,
1401,931,,,,,
1394,928,,,,,
1498,928,,,,,
1284,925,,,,,
1315,918,,,,,
2198,916,,,,,
1293,915,,,,,
2200,914,,,,,
1294,910,,,,,
1343,905,,,,,
1344,904,,,,,
1345,903,,,,,
1351,903,,,,,
2233,898,,,,,
1364,896,,,,,
2224,895,,,,,
2229,895,,,,,
2234,892,,,,,
1363,890,,,,,
2232,890,,,,,
2223,889,,,,,
2165,887,,,,,
2163,886,,,,,
2166,886,,,,,
1297,885,,,,,
1295,884,,,,,
1296,883,,,,,
1304,882,,,,,
2190,880,,,,,
1308,878,,,,,
1307,877,,,,,
1303,876,,,,,
1305,875,,,,,
1306,875,,,,,
1302,874,,,,,
2442,872,,,,,
2451,869,,,,,
2480,861,,,,,
2481,861,,,,,
1261,855,,,,,
1259,854,,,,,
1260,854,,,,,
1639,853,,,,,
1640,853,,,,,
1269,852,,,,,
1270,851,,,,,
1267,850,,,,,
1268,850,,,,,
1273,849,,,,,
1271,847,,,,,
1274,847,,,,,
1244,845,,,,,
1626,844,,,,,
2651,843,,,,,
1747,842,,,,,
1748,841,,,,,
1732,838,,,,,
1725,835,,,,,
691,828,,,,,
1682,827,,,,,
1707,824,,,,,
1705,823,,,,,
1689,822,,,,,
1711,821,,,,,
1717,817,,,,,
1685,814,,,,,
1664,812,,,,,
2404,805,,,,,
1662,804,,,,,
1661,803,,,,,
1663,802,,,,,
1665,799,,,,,
1666,799,,,,,
1641,796,,,,,
2294,793,,,,,
1609,787,,,,,
1589,786,,,,,
1600,784,,,,,
1557,781,,,,,
1558,781,,,,,
1561,779,,,,,
1552,778,,,,,
2352,770,,,,,
2320,764,,,,,
2319,763,,,,,
2324,762,,,,,
1533,757,,,,,
2334,757,,,,,
1528,753,,,,,
2336,753,,,,,
1515,752,,,,,
1545,752,,,,,
74,748,,,,,
1542,748,,,,,
2280,746,,,,,
2289,746,,,,,
230,743,,,,,
150,742,,,,,
2254,740,,,,,
2253,739,,,,,
2616,738,,,,,
1199,731,,,,,
1200,730,,,,,
1197,729,,,,,
1170,727,,,,,
1171,727,,,,,
2306,726,,,,,
2307,726,,,,,
2730,720,,,,,
2741,717,,,,,
2609,708,,,,,
2585,707,,,,,
2580,706,,,,,
2581,706,,,,,
2583,706,,,,,
2574,705,,,,,
2579,705,,,,,
2656,696,,,,,
2669,694,,,,,
2670,694,,,,,
2668,693,,,,,
2666,692,,,,,
2667,692,,,,,
2553,682,,,,,
2711,677,,,,,
2710,676,,,,,
2511,671,,,,,
2508,670,,,,,
2639,668,,,,,
2523,667,,,,,
2646,658,,,,,
2527,655,,,,,
2653,654,,,,,
1838,648,,,,,
1839,647,,,,,
2272,646,,,,,
1845,640,,,,,
1880,640,,,,,
1856,638,,,,,
1855,637,,,,,
1878,634,,,,,
1872,631,,,,,
2515,630,,,,,
1972,622,,,,,
1965,619,,,,,
1179,618,,,,,
1825,616,,,,,
1955,616,,,,,
2000,614,,,,,
1990,611,,,,,
1924,608,,,,,
1912,607,,,,,
1921,607,,,,,
1929,603,,,,,
1943,601,,,,,
1945,601,,,,,
1946,600,,,,,
1779,598,,,,,
1778,595,,,,,
1794,595,,,,,
1798,594,,,,,
1793,592,,,,,
2993,590,,,,,
2985,588,,,,,
1739,585,,,,,
1765,580,,,,,
1766,579,,,,,
2946,576,,,,,
1898,574,,,,,
1899,571,,,,,
1913,567,,,,,
1917,567,,,,,
2923,562,,,,,
2938,558,,,,,
2982,556,,,,,
2983,555,,,,,
2939,553,,,,,
2843,551,,,,,
2842,550,,,,,
2841,549,,,,,
2897,546,,,,,
2913,544,,,,,
2861,543,,,,,
2862,543,,,,,
2905,541,,,,,
284,538,,,,,
2832,527,,,,,
2835,527,,,,,
2831,526,,,,,
2840,526,,,,,
281,521,,,,,
2811,519,,,,,
2833,518,,,,,
2834,518,,,,,
2836,517,,,,,
2798,515,,,,,
2794,514,,,,,
2791,513,,,,,
2782,512,,,,,
2783,511,,,,,
2784,510,,,,,
2772,504,,,,,
2754,502,,,,,
2760,502,,,,,
2844,353,,,,,
1686,326,,,,,
1675,320,,,,,
973,317,,,,,
962,316,,,,,
969,316,,,,,
990,308,,,,,
986,307,,,,,
1220,304,,,,,
1234,301,,,,,
2980,299,,,,,
1250,298,,,,,
756,297,,,,,
765,296,,,,,
758,295,,,,,
773,295,,,,,
775,294,,,,,
754,293,,,,,
774,292,,,,,
503,288,,,,,
504,288,,,,,
505,288,,,,,
502,287,,,,,
501,286,,,,,
532,278,,,,,
534,277,,,,,
542,276,,,,,
553,273,,,,,
563,269,,,,,
551,268,,,,,
572,265,,,,,
573,265,,,,,
599,260,,,,,
622,257,,,,,
629,256,,,,,
602,251,,,,,
653,243,,,,,
665,239,,,,,
672,238,,,,,
685,234,,,,,
683,233,,,,,
684,233,,,,,
3,231,,,,,
4,231,,,,,
1,226,,,,,
2,226,,,,,
733,220,,,,,
739,219,,,,,
734,218,,,,,
735,218,,,,,
7431,216,,,,,
7451,215,,,,,
7471,213,,,,,
2531,212,,,,,
2541,212,,,,,
267,210,,,,,
263,209,,,,,
302,209,,,,,
265,208,,,,,
303,208,,,,,
277,204,,,,,
292,203,,,,,
293,203,,,,,
282,202,,,,,
295,202,,,,,
294,201,,,,,
294,200,,,,,
264,198,,,,,
283,195,,,,,
284,195,,,,,
340,191,,,,,
304,190,,,,,
305,190,,,,,
323,188,,,,,
322,187,,,,,
356,187,,,,,
332,186,,,,,
334,184,,,,,
336,182,,,,,
398,182,,,,,
328,180,,,,,
333,179,,,,,
331,178,,,,,
378,177,,,,,
385,177,,,,,
381,176,,,,,
382,176,,,,,
379,175,,,,,
380,175,,,,,
368,173,,,,,
366,171,,,,,
358,170,,,,,
419,168,,,,,
402,167,,,,,
424,166,,,,,
5,160,,,,,
472,149,,,,,
473,148,,,,,
4522,145,,,,,
4531,145,,,,,
4541,145,,,,,
4631,145,,,,,
4641,145,,,,,
4661,145,,,,,
456,142,,,,,
478,139,,,,,
1831,138,,,,,
1834,138,,,,,
1835,137,,,,,
190,134,,,,,
479,133,,,,,
1504,132,,,,,
2271,131,,,,,
1168,129,,,,,
1158,125,,,,,
1222,125,,,,,
1178,123,,,,,
1177,122,,,,,
1181,122,,,,,
1180,121,,,,,
1189,121,,,,,
1188,120,,,,,
1187,117,,,,,
489,113,,,,,
495,113,,,,,
430,108,,,,,
440,105,,,,,
1054,101,,,,,
1053,99,,,,,
1056,99,,,,,
1040,98,,,,,
1027,97,,,,,
1026,96,,,,,
875,92,,,,,
845,91,,,,,
856,91,,,,,
838,84,,,,,
816,82,,,,,
825,82,,,,,
837,78,,,,,
801,75,,,,,
836,75,,,,,
829,74,,,,,
876,61,,,,,
877,60,,,,,
2977,56,,,,,
1150,51,,,,,
1115,41,,,,,
221,32,,,,,
221,28,,,,,
2212,26,,,,,
2211,21,,,,,
1482,20,,,,,
1065,16,,,,,
1072,16,,,,,
2079,11,,,,,
2078,10,,,,,
1130,4,,,,,
